family_key,relative_path,key_count,method_id,parameter_set_id,eligible_blocks,recurrence_relations,distinct_recurrent_identities,noncontiguous_relations
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","20260906-131826-08255ad9b6104a4bac32bcbc4a445ed5/BUTAOTOME - Hakanaki Mono Ningen (YuEast 2018) [fake].osu",4,exact-block-recurrence.1,block-2,1832,1135,321,1133
"A-ONE | SIDE BY SIDE | KURISU MAKISE","20260906-131904-f5a5b697431649b9bf70ce8289507356/A-One - Side by Side (Kurisu Makise) [Lunatic].osu",10,exact-block-recurrence.1,block-2,2441,1583,502,1526
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","20260906-131925-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu",7,exact-block-recurrence.1,block-2,2195,1234,460,1224
"KIKUO | KARA KARA KARA NO KARA | XNETT","20260906-131946-3dda05e77fb04c549bcf02b2d695642f/Kikuo - Kara Kara Kara no Kara (xNett) [Karanival!].osu",7,exact-block-recurrence.1,block-2,6576,1434,655,1425
"NMK&WATHUE | CELESTIAL AXES | WONKI","20260906-132052-e0a90265f66f4602a029ae018f756893/nmk&wathue - Celestial Axes (Wonki) [Insane].osu",7,exact-block-recurrence.1,block-2,1329,509,257,474
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA","20260906-132115-f5b43f7ecd4c4b3c85e2a5b98daa23ae/Samfree ft. SF-A2 Miki - MikiMiki Romantic Night (Nananana) [Miki Dance].osu",7,exact-block-recurrence.1,block-2,1925,801,427,772
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","20260906-132131-824fc52bd41e4a9186d385ad3f715838/Akatsuki Records - Mizuiro Raindrop ([GB]V1do) [Lunat1c (Cut ver.)].osu",4,exact-block-recurrence.1,block-2,1732,1608,94,1583
"ORGT | DESTINY | BAIO","20260906-132157-f3ed30353b874ea1af9e136183fe1c12/orgT - DESTINY (Baio) [Insane].osu",7,exact-block-recurrence.1,block-2,909,227,116,195
"NOWISEE | KO INU | RUKA","20260906-132536-c81deb37e7374b3fbe1da9cbf9a63eec/nowisee - Ko Inu (ruka) [aphotic].osu",7,exact-block-recurrence.1,block-2,3097,321,236,316
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","20260906-132704-cb69a956fc164cf9a7c21fe1b49dbb13/NJK Record feat. 3L - Spring of Dreams (ItzBenja616) [KNH - Lvl 81 (No SV)] CUSTOM.osu",7,exact-block-recurrence.1,block-2,2818,139,85,137
"MORO | HOLY BITCH | ITZBENJA616","20260906-132812-c9792f6e6e054cca9f0a2e5a2d504b45/moro - Holy Bitch (ItzBenja616) [Selfishness].osu",7,exact-block-recurrence.1,block-2,3447,1989,737,1979
