family_key,relative_path,key_count,recurrent_identities,occurrences,emitted_consecutive_links,all_possible_pairs
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","20260906-131826-08255ad9b6104a4bac32bcbc4a445ed5/BUTAOTOME - Hakanaki Mono Ningen (YuEast 2018) [fake].osu",4,321,1456,1135,5250
"A-ONE | SIDE BY SIDE | KURISU MAKISE","20260906-131904-f5a5b697431649b9bf70ce8289507356/A-One - Side by Side (Kurisu Makise) [Lunatic].osu",10,502,2085,1583,8237
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","20260906-131925-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu",7,460,1694,1234,3660
"KIKUO | KARA KARA KARA NO KARA | XNETT","20260906-131946-3dda05e77fb04c549bcf02b2d695642f/Kikuo - Kara Kara Kara no Kara (xNett) [Karanival!].osu",7,655,2089,1434,4548
"NMK&WATHUE | CELESTIAL AXES | WONKI","20260906-132052-e0a90265f66f4602a029ae018f756893/nmk&wathue - Celestial Axes (Wonki) [Insane].osu",7,257,766,509,1123
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA","20260906-132115-f5b43f7ecd4c4b3c85e2a5b98daa23ae/Samfree ft. SF-A2 Miki - MikiMiki Romantic Night (Nananana) [Miki Dance].osu",7,427,1228,801,1526
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","20260906-132131-824fc52bd41e4a9186d385ad3f715838/Akatsuki Records - Mizuiro Raindrop ([GB]V1do) [Lunat1c (Cut ver.)].osu",4,94,1702,1608,51773
"ORGT | DESTINY | BAIO","20260906-132157-f3ed30353b874ea1af9e136183fe1c12/orgT - DESTINY (Baio) [Insane].osu",7,116,343,227,460
"NOWISEE | KO INU | RUKA","20260906-132536-c81deb37e7374b3fbe1da9cbf9a63eec/nowisee - Ko Inu (ruka) [aphotic].osu",7,236,557,321,476
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","20260906-132704-cb69a956fc164cf9a7c21fe1b49dbb13/NJK Record feat. 3L - Spring of Dreams (ItzBenja616) [KNH - Lvl 81 (No SV)] CUSTOM.osu",7,85,224,139,219
"MORO | HOLY BITCH | ITZBENJA616","20260906-132812-c9792f6e6e054cca9f0a2e5a2d504b45/moro - Holy Bitch (ItzBenja616) [Selfishness].osu",7,737,2726,1989,5709
